Name,WLS_21,WLaS_21,Depth_21,WLS_23,WLaS_23,Depth_23,WLS_27,WLaS_27,Depth_27
1,,,,,,,15,10,52
1b,,,,16,13,45,14,15,47
2,,,,16,15.5,50,16,9,52
3,,,,16,11.5,40,17.5,12.5,40
4,,,,33,11,48,30.5,12.5,51.5
5,,,,24,9,50,24,11.5,48
6,,,,25,12,48,23.5,12,52
7,,,,25,6.5,47,24.5,5,50
8,,,,18,7,50,,,
9,,,,17,9.5,45,,,
10,,,,68,2,38,71,2.5,37
11,,,,47.5,7.5,43,,,
12,,,,43,11,34,,,
13,,,,,,,,,
14,,,,40.5,7,32,,,
15,31,11.5,50,26,11.5,50,,,
16,23,5,50,18,1,50,,,
16b,21,1,30,15,0.5,30,,,
17,41,6,50,39.5,0.5,48,,,
18,38,9,50,33,8.5,48,,,
19,,,,63.5,4.5,45,,,
20,,,,19,2,50,,,
21,,,,18,4.5,47,,,
22,,,,5,3.5,50,,,
